class_id	p_value	class_label	rank	p_value_adjusted	false_discovery_rate	fold_enrichment	probability	sample_count	sample_total	background_count	background_total	ancestor_of_more_informative_result	descendant_of_more_informative_result
FYPO:0000059	1.5157788722478674e-17	abnormal mitotic cell cycle	24	1.4218005821684995e-14	None	None	None	27	30	915	5057	True	None
FYPO:0004429	2.693956750467773e-17	normal rate of mitotic spindle elongation	25	2.526931431938771e-14	None	None	None	9	30	16	5057	None	None
FYPO:0000931	2.895937119317052e-17	abnormal protein localization to microtubule cytoskeleton during vegetative growth	26	2.7163890179193946e-14	None	None	None	14	30	95	5057	None	True
FYPO:0007111	3.114013008353631e-17	abnormal microtubule depolymerization	27	2.920944201835706e-14	None	None	None	10	30	25	5057	None	True
FYPO:0004328	5.042000053481186e-17	normal protein localization during mitosis	28	4.7293960501653525e-14	None	None	None	10	30	26	5057	True	None
FYPO:0005342	9.048631469583137e-17	normal rate of mitotic spindle elongation during anaphase B	29	8.487616318468982e-14	None	None	None	8	30	11	5057	None	True
FYPO:0006003	2.13511971135013e-16	normal cellular component organization	30	2.002742289246422e-13	None	None	None	21	30	438	5057	True	None
FYPO:0000141	2.1433968642925188e-16	abnormal mitotic sister chromatid segregation	31	2.0105062587063826e-13	None	None	None	19	30	315	5057	True	True
FYPO:0002741	2.2311768759422375e-16	normal mitotic cell cycle process	32	2.0928439096338188e-13	None	None	None	17	30	217	5057	True	None
FYPO:0004096	4.748428695146438e-16	normal protein localization to cytoskeleton	33	4.4540261160473586e-13	None	None	None	14	30	115	5057	True	None
FYPO:0001322	6.70967344947406e-16	abnormal subcellular component during vegetative growth	34	6.293673695606668e-13	None	None	None	24	30	712	5057	True	None
FYPO:0003184	1.663012182825011e-15	normal protein localization to cytoskeleton during vegetative growth	35	1.5599054274898604e-12	None	None	None	13	30	96	5057	True	True
FYPO:0000607	1.889642633181673e-15	abnormal mitotic M phase progression	36	1.772484789924409e-12	None	None	None	12	30	72	5057	None	True
FYPO:0000411	2.4834380472371854e-15	normal mitotic cell cycle	37	2.32946488830848e-12	None	None	None	17	30	250	5057	True	None
FYPO:0000902	2.9878276153820283e-15	abnormal microtubule depolymerization during vegetative growth	38	2.8025823032283426e-12	None	None	None	9	30	24	5057	None	True
FYPO:0000119	4.296483618480209e-15	abnormal spindle assembly	39	4.030101634134436e-12	None	None	None	10	30	38	5057	None	True
FYPO:0007863	4.296483618480209e-15	abnormal protein localization to spindle	40	4.030101634134436e-12	None	None	None	10	30	38	5057	None	None
FYPO:0005275	6.555874625344804e-15	abnormal mitotic cell cycle phase transition	41	6.149410398573426e-12	None	None	None	14	30	138	5057	True	True
FYPO:0001399	7.086546615739879e-15	normal mitotic spindle	42	6.647180725564006e-12	None	None	None	9	30	26	5057	None	None
FYPO:0007402	8.441766763293585e-15	abnormal protein complex organization during vegetative growth	43	7.918377223969383e-12	None	None	None	12	30	81	5057	True	True
FYPO:0000287	9.164488425386702e-15	abnormal subcellular component	44	8.596290143012727e-12	None	None	None	27	30	1164	5057	True	None
FYPO:0000138	1.1127823450781122e-14	localization phenotype	45	1.0437898396832692e-11	None	None	None	25	30	913	5057	True	None
FYPO:0006329	1.152190183393334e-14	abnormal organelle localization	46	1.0807543920229473e-11	None	None	None	11	30	60	5057	None	True
FYPO:0007954	1.3024605046566825e-14	abnormal rate of microtubule depolymerization during vegetative growth	47	1.2217079533679683e-11	None	None	None	8	30	17	5057	None	True
FYPO:0005273	1.4638373023051084e-14	abnormal cell cycle phase transition	48	1.3730793895621917e-11	None	None	None	14	30	146	5057	True	None
FYPO:0002638	2.245942262595669e-14	increased activation of mitotic spindle assembly checkpoint	49	2.1066938423147378e-11	None	None	None	9	30	29	5057	None	True
FYPO:0006048	2.3353379868894483e-14	unstable mitotic spindle	50	2.1905470317023026e-11	None	None	None	8	30	18	5057	None	True
FYPO:0003186	2.3353379868894483e-14	abolished protein localization to mitotic spindle	51	2.1905470317023026e-11	None	None	None	8	30	18	5057	None	True
FYPO:0001943	2.563807113671272e-14	abnormal microtubule binding	52	2.404851072623653e-11	None	None	None	6	30	6	5057	None	None
FYPO:0005042	2.8267630984917967e-14	normal protein localization to kinetochore	53	2.651503786385305e-11	None	None	None	10	30	45	5057	None	True
FYPO:0001337	2.842986235321872e-14	localization phenotype during vegetative growth	54	2.6667210887319162e-11	None	None	None	24	30	836	5057	True	True
FYPO:0000335	2.8471825789967826e-14	abnormal cellular component organization	55	2.6706572590989822e-11	None	None	None	28	30	1375	5057	True	None
FYPO:0000276	4.487163541439265e-14	monopolar mitotic spindle	56	4.208959401870031e-11	None	None	None	9	30	31	5057	None	True
FYPO:0001179	7.167138059352973e-14	abolished protein localization during vegetative growth	57	6.722775499673089e-11	None	None	None	15	30	205	5057	True	True
FYPO:0000168	7.176715008492984e-14	abnormal mitotic spindle assembly checkpoint	58	6.731758677966419e-11	None	None	None	10	30	49	5057	True	True
FYPO:0000200	7.176715008492984e-14	abnormal regulation of mitotic metaphase/anaphase transition	59	6.731758677966419e-11	None	None	None	10	30	49	5057	True	True
FYPO:0000641	8.112662120608886e-14	abnormal chromosome organization	60	7.609677069131136e-11	None	None	None	19	30	433	5057	True	True
FYPO:0000011	9.303847544457253e-14	abnormal cell cycle	61	8.727008996700903e-11	None	None	None	29	30	1628	5057	True	None
FYPO:0004614	9.457394838417187e-14	abnormal microtubule polymerization during vegetative growth	62	8.871036358435322e-11	None	None	None	7	30	12	5057	None	True
FYPO:0002824	1.154336459750947e-13	abnormal protein localization to mitotic spindle	63	1.0827675992463882e-10	None	None	None	9	30	34	5057	True	True
FYPO:0000631	1.1698544953124478e-13	cell cycle phenotype	64	1.097323516603076e-10	None	None	None	29	30	1641	5057	True	None
FYPO:0001362	1.6219160360197333e-13	abnormal cellular process during vegetative growth	65	1.5213572417865097e-10	None	None	None	27	30	1298	5057	True	None
FYPO:0000904	2.0409316507303675e-13	decreased microtubule polymerization or depolymerization	66	1.9143938883850848e-10	None	None	None	7	30	13	5057	None	True
FYPO:0007163	2.707099479884826e-13	abnormal microtubule-based movement	67	2.539259312131967e-10	None	None	None	9	30	37	5057	None	None
FYPO:0000334	3.8115582942425975e-13	cellular component organization phenotype	68	3.5752416799995564e-10	None	None	None	28	30	1511	5057	True	None
FYPO:0003185	4.065585505582464e-13	normal protein localization to microtubule cytoskeleton during mitotic interphase	69	3.813519204236351e-10	None	None	None	7	30	14	5057	None	True
FYPO:0000409	4.359814649452683e-13	delayed cell cycle phase transition	70	4.0895061411866167e-10	None	None	None	11	30	82	5057	True	True
FYPO:0001375	4.513337502242842e-13	abolished protein localization	71	4.2335105771037855e-10	None	None	None	15	30	232	5057	True	True
FYPO:0003607	5.291114670012959e-13	abnormal spindle morphology	72	4.963065560472155e-10	None	None	None	10	30	59	5057	None	True
FYPO:0000899	1.5955216380666748e-12	normal microtubule cytoskeleton organization during vegetative growth	73	1.496599296506541e-09	None	None	None	8	30	28	5057	None	True
FYPO:0007853	2.369706590117091e-12	normal protein localization to centromere	74	2.222784781529831e-09	None	None	None	10	30	68	5057	True	True
FYPO:0001370	3.2996275749205514e-12	abnormal protein localization	75	3.095050665275477e-09	None	None	None	21	30	704	5057	True	True
FYPO:0005449	3.2996275749205514e-12	abolished cellular process	76	3.095050665275477e-09	None	None	None	21	30	704	5057	True	None
FYPO:0001331	4.5312673493861165e-12	cellular process phenotype during vegetative growth	77	4.2503287737241775e-09	None	None	None	28	30	1654	5057	True	None
FYPO:0002734	4.622523782757285e-12	abnormal cell cycle process	78	4.3359273082263334e-09	None	None	None	26	30	1316	5057	True	True
FYPO:0002333	5.143103806013764e-12	protein localization phenotype	79	4.82423137004091e-09	None	None	None	22	30	820	5057	True	True
FYPO:0000325	1.1757193611782405e-11	abnormal attachment of spindle microtubules to kinetochore	80	1.1028247607851895e-08	None	None	None	8	30	35	5057	None	True
FYPO:0001840	1.790881902378919e-11	increased minichromosome loss during vegetative growth	81	1.679847224431426e-08	None	None	None	11	30	114	5057	None	None
FYPO:0000336	1.8275938711148548e-11	abnormal cellular component assembly	82	1.7142830511057337e-08	None	None	None	18	30	502	5057	True	True
FYPO:0003627	1.890734445091968e-11	normal protein localization	83	1.773508909496266e-08	None	None	None	18	30	503	5057	True	True
FYPO:0001859	2.1724362486253232e-11	increased minichromosome loss	84	2.0377452012105533e-08	None	None	None	11	30	116	5057	True	None
FYPO:0000704	2.776281030954629e-11	abnormal protein-protein interaction	85	2.604151607035442e-08	None	None	None	16	30	370	5057	True	None
FYPO:0000628	6.117008664989485e-11	abnormal cellular process	86	5.7377541277601366e-08	None	None	None	30	30	2317	5057	True	None
FYPO:0000029	8.123352739048525e-11	abnormal chromosome segregation	87	7.619704869227516e-08	None	None	None	20	30	727	5057	True	True
FYPO:0006915	8.344258852588649e-11	normal cell cycle process	88	7.826914803728152e-08	None	None	None	21	30	829	5057	True	None
FYPO:0002069	9.539634567454412e-11	mislocalized nucleus	89	8.948177224272239e-08	None	None	None	9	30	68	5057	None	None
FYPO:0005842	1.0790426453508555e-10	normal protein localization to interphase microtubule	90	1.0121420013391025e-07	None	None	None	5	30	7	5057	None	True
FYPO:0000148	1.0899566665465208e-10	abnormal regulation of mitotic cell cycle	91	1.0223793532206365e-07	None	None	None	12	30	176	5057	True	True
FYPO:0000627	1.1809127617970782e-10	normal cellular process	92	1.1076961705656594e-07	None	None	None	25	30	1345	5057	True	None
FYPO:0000903	1.2368937147985282e-10	decreased rate of microtubule depolymerization during vegetative growth	93	1.1602063044810195e-07	None	None	None	6	30	15	5057	None	True
FYPO:0001704	1.5334598240320271e-10	abnormal mitotic cell cycle checkpoint	94	1.4383853149420414e-07	None	None	None	10	30	102	5057	True	True
FYPO:0000702	1.5918014520810808e-10	protein-protein interaction phenotype	95	1.4931097620520538e-07	None	None	None	16	30	415	5057	True	None
FYPO:0002736	1.725319450130547e-10	abnormal mitotic cell cycle phase	96	1.618349644222453e-07	None	None	None	12	30	183	5057	True	True
FYPO:0003832	2.0488686069167535e-10	normal cell cycle	97	1.9218387532879147e-07	None	None	None	21	30	868	5057	True	True
FYPO:0001354	2.2736697400806215e-10	abnormal cellular component assembly during vegetative growth	98	2.1327022161956229e-07	None	None	None	15	30	356	5057	True	True
FYPO:0000933	2.5296400728154247e-10	decreased protein localization to microtubule cytoskeleton during vegetative growth	99	2.3728023883008684e-07	None	None	None	8	30	50	5057	None	True
FYPO:0002196	2.606335361539251e-10	abnormal vegetative cell shape	100	2.4447425691238175e-07	None	None	None	26	30	1549	5057	None	None
FYPO:0001319	2.6182580480199906e-10	normal cellular process during vegetative growth	101	2.455926049042751e-07	None	None	None	21	30	879	5057	True	True
FYPO:0002735	2.8503735613957466e-10	abnormal cell cycle phase	102	2.6736504005892104e-07	None	None	None	12	30	191	5057	True	True
FYPO:0007955	2.8655798830201227e-10	abnormal rate of microtubule polymerization during vegetative growth	103	2.687913930272875e-07	None	None	None	5	30	8	5057	None	True
FYPO:0001313	3.4206717914266797e-10	normal subcellular component during vegetative growth	104	3.2085901403582256e-07	None	None	None	12	30	194	5057	True	None
FYPO:0005448	4.418419974791286e-10	abolished biological process	105	4.144477936354226e-07	None	None	None	21	30	903	5057	True	None
FYPO:0003829	4.531876320993336e-10	abolished mitotic spindle elongation	106	4.250899989091749e-07	None	None	None	6	30	18	5057	None	True
FYPO:0004700	4.531876320993336e-10	bent vegetative cell	107	4.250899989091749e-07	None	None	None	6	30	18	5057	None	True
FYPO:0005793	4.531876320993336e-10	bent cell	108	4.250899989091749e-07	None	None	None	6	30	18	5057	True	None
FYPO:0001233	5.598369635911578e-10	normal subcellular component	109	5.25127071848506e-07	None	None	None	13	30	255	5057	True	None
FYPO:0004692	6.42096236744573e-10	normal protein localization to mitotic spindle midzone	110	6.022862700664095e-07	None	None	None	5	30	9	5057	None	True
FYPO:0006259	6.42096236744573e-10	normal mitotic spindle length during metaphase	111	6.022862700664095e-07	None	None	None	5	30	9	5057	None	True
FYPO:0007106	6.42096236744573e-10	normal mitotic spindle morphology	112	6.022862700664095e-07	None	None	None	5	30	9	5057	True	True
FYPO:0007865	6.42096236744573e-10	normal protein localization to spindle	113	6.022862700664095e-07	None	None	None	5	30	9	5057	True	True
FYPO:0005209	6.538100668347552e-10	abnormal protein localization to kinetochore	114	6.132738426910004e-07	None	None	None	8	30	56	5057	None	True
FYPO:0000644	7.251246762637076e-10	normal protein localization during vegetative growth	115	6.801669463353577e-07	None	None	None	16	30	459	5057	True	True
FYPO:0001126	8.545754993262798e-10	abnormal cell shape	116	8.015918183680504e-07	None	None	None	26	30	1626	5057	True	None
FYPO:0000705	1.0891155227393266e-09	abolished protein-protein interaction	117	1.0215903603294885e-06	None	None	None	13	30	269	5057	None	True
FYPO:0000443	1.1827189661330483e-09	abnormal protein localization during vegetative growth	118	1.1093903902327994e-06	None	None	None	18	30	643	5057	True	True
FYPO:0001118	1.221688875988621e-09	abnormal vegetative cell morphology	119	1.1459441656773266e-06	None	None	None	26	30	1650	5057	True	None
FYPO:0000137	1.7306838261717403e-09	mitotic cell cycle checkpoint phenotype	120	1.6233814289490923e-06	None	None	None	10	30	130	5057	True	True
FYPO:0003478	2.1680793403893756e-09	signal transduction phenotype	121	2.0336584212852345e-06	None	None	None	10	30	133	5057	True	None
FYPO:0006173	2.3349708046031196e-09	abolished mitotic spindle elongation during prophase	122	2.1902026147177263e-06	None	None	None	5	30	11	5057	None	True
FYPO:0003268	2.3349708046031196e-09	decreased rate of mitotic spindle elongation	123	2.1902026147177263e-06	None	None	None	5	30	11	5057	None	True
FYPO:0000734	2.4144995609264166e-09	abnormal meiotic spindle	124	2.2648005881489786e-06	None	None	None	6	30	23	5057	None	True
FYPO:0004638	2.9654857258035544e-09	abnormal cellular physical quality phenotype	125	2.781625610803734e-06	None	None	None	30	30	2635	5057	True	None
FYPO:0002760	3.2062017750151623e-09	short cytoplasmic microtubules	126	3.0074172649642222e-06	None	None	None	6	30	24	5057	None	True
FYPO:0001092	3.681628124230677e-09	binding phenotype	127	3.453367180528375e-06	None	None	None	16	30	512	5057	True	None
FYPO:0001418	4.634688630544586e-09	abnormal microtubule cytoskeleton morphology during vegetative growth	128	4.347337935450821e-06	None	None	None	12	30	243	5057	True	True
FYPO:0003064	4.857733941167904e-09	abnormal microtubule cytoskeleton morphology	129	4.556554436815494e-06	None	None	None	12	30	244	5057	True	True
FYPO:0005703	5.013756421145964e-09	decreased rate of microtubule polymerization during vegetative growth	130	4.7029035230349135e-06	None	None	None	4	30	5	5057	None	True
FYPO:0004395	5.013756421145964e-09	short bipolar mitotic spindle during metaphase	131	4.7029035230349135e-06	None	None	None	4	30	5	5057	None	True
FYPO:0000005	5.029126479713041e-09	abnormal cell morphology	132	4.717320637970833e-06	None	None	None	26	30	1749	5057	True	True
FYPO:0000114	5.111986105885202e-09	cellular process phenotype	133	4.7950429673203194e-06	None	None	None	30	30	2683	5057	True	None
FYPO:0001861	5.439639454076278e-09	increased minichromosome loss upon segregation during vegetative growth	134	5.102381807923548e-06	None	None	None	6	30	26	5057	None	True
FYPO:0005215	6.451007731058266e-09	decreased protein localization to kinetochore during mitosis	135	6.051045251732654e-06	None	None	None	5	30	13	5057	None	True
FYPO:0000618	6.451007731058266e-09	increased duration of mitotic anaphase	136	6.051045251732654e-06	None	None	None	5	30	13	5057	None	True
FYPO:0000030	6.9652884572865e-09	abnormal mitotic chromosome congression	137	6.533440572934737e-06	None	None	None	6	30	27	5057	None	True
FYPO:0000616	9.993502400658608e-09	abnormal mitotic anaphase progression	138	9.373905251817775e-06	None	None	None	5	30	14	5057	True	True
FYPO:0004568	9.993502400658608e-09	normal spindle	139	9.373905251817775e-06	None	None	None	5	30	14	5057	True	True
FYPO:0001268	1.0244042661368822e-08	abnormal protein localization to kinetochore during vegetative growth	140	9.608912016363955e-06	None	None	None	7	30	50	5057	True	True
FYPO:0000733	1.1086467911908384e-08	long mitotic spindle	141	1.0399106901370065e-05	None	None	None	6	30	29	5057	None	True
FYPO:0000145	1.1429084003983776e-08	regulation phenotype	142	1.0720480795736781e-05	None	None	None	21	30	1070	5057	True	True
FYPO:0004997	1.3227939161515301e-08	normal protein localization to chromosome	143	1.2407806933501352e-05	None	None	None	10	30	160	5057	True	True
FYPO:0006475	1.492840891532995e-08	mitotic spindle collapse	144	1.4002847562579493e-05	None	None	None	5	30	15	5057	None	True
FYPO:0002825	1.492840891532995e-08	decreased protein localization to mitotic spindle	145	1.4002847562579493e-05	None	None	None	5	30	15	5057	None	True
FYPO:0005343	1.497935434729164e-08	decreased rate of mitotic spindle elongation during anaphase B	146	1.4050634377759558e-05	None	None	None	4	30	6	5057	None	True
FYPO:0004731	1.497935434729164e-08	normal protein localization to interphase microtubule plus-end	147	1.4050634377759558e-05	None	None	None	4	30	6	5057	None	True
FYPO:0000703	1.5460640833181976e-08	normal protein-protein interaction	148	1.4502081101524694e-05	None	None	None	11	30	213	5057	None	True
FYPO:0004315	1.6038518320054202e-08	abnormal microtubule cytoskeleton during vegetative growth	149	1.5044130184210842e-05	None	None	None	12	30	271	5057	True	True
FYPO:0001122	1.9580850809037174e-08	elongated vegetative cell	150	1.836683805887687e-05	None	None	None	19	30	868	5057	None	True
FYPO:0006634	1.9580850809037174e-08	increased vegetative cell length	151	1.836683805887687e-05	None	None	None	19	30	868	5057	True	True
FYPO:0000352	2.139613949622658e-08	abnormal cytoskeleton morphology during vegetative growth	152	2.006957884746053e-05	None	None	None	12	30	278	5057	True	True
FYPO:0003063	2.228080814941162e-08	abnormal cytoskeleton morphology	153	2.08993980441481e-05	None	None	None	12	30	279	5057	True	True
FYPO:0000013	3.0508251034741905e-08	T-shaped vegetative cell with normal cell length	154	2.8616739470587907e-05	None	None	None	5	30	17	5057	None	True
FYPO:0000730	3.0753275865945184e-08	long spindle	155	2.8846572762256583e-05	None	None	None	6	30	34	5057	True	True
FYPO:0001846	3.480795445786051e-08	increased duration of mitotic anaphase A	156	3.264986128147316e-05	None	None	None	4	30	7	5057	None	True
FYPO:0005461	3.480795445786051e-08	abnormal microtubule-based movement during vegetative growth	157	3.264986128147316e-05	None	None	None	4	30	7	5057	None	True
FYPO:0002901	3.696449108881196e-08	normal protein localization to kinetochore during vegetative growth	158	3.467269264130562e-05	None	None	None	6	30	35	5057	None	True
FYPO:0005447	3.8590776003769574e-08	abnormal biological process	159	3.619814789153586e-05	None	None	None	30	30	2869	5057	True	None
FYPO:0000091	4.102360665974849e-08	sensitive to thiabendazole	160	3.848014304684408e-05	None	None	None	14	30	436	5057	None	None
FYPO:0000015	5.21862771393689e-08	branched vegetative cell	161	4.895072795672803e-05	None	None	None	8	30	96	5057	True	True
FYPO:0000055	5.2511225486000415e-08	long microtubules	162	4.925552950586839e-05	None	None	None	6	30	37	5057	None	True
FYPO:0004159	5.3857184624421693e-08	abnormal homologous chromosome segregation	163	5.0518039177707546e-05	None	None	None	7	30	63	5057	None	True
FYPO:0003327	5.6856547972244906e-08	curved interphase microtubules	164	5.333144199796572e-05	None	None	None	5	30	19	5057	None	True
FYPO:0000274	5.6856547972244906e-08	increased duration of mitotic M phase	165	5.333144199796572e-05	None	None	None	5	30	19	5057	None	True
FYPO:0007452	6.932935092673035e-08	normal protein localization to microtubule plus-end	166	6.503093116927307e-05	None	None	None	4	30	8	5057	True	True
FYPO:0006633	7.037245971962336e-08	increased cell length	167	6.600936721700672e-05	None	None	None	19	30	936	5057	True	True
FYPO:0000298	7.800767102712151e-08	cellular response phenotype	168	7.317119542343997e-05	None	None	None	12	30	312	5057	True	True
FYPO:0001069	1.1411863356471026e-07	increased duration of mitotic cell cycle phase	169	0.00010704327828369822	None	None	None	8	30	106	5057	True	True
FYPO:0002688	1.2427915467882525e-07	mitotic spindle collapse without elongation during prophase	170	0.00011657384708873809	None	None	None	4	30	9	5057	None	True
FYPO:0005682	1.2427915467882525e-07	decreased microtubule depolymerization during vegetative growth	171	0.00011657384708873809	None	None	None	4	30	9	5057	None	True
FYPO:0005813	1.2427915467882525e-07	normal protein localization to microtubule end during mitotic interphase	172	0.00011657384708873809	None	None	None	4	30	9	5057	True	True
FYPO:0003269	1.2427915467882525e-07	abolished protein localization to microtubule during vegetative growth	173	0.00011657384708873809	None	None	None	4	30	9	5057	None	True
FYPO:0003305	1.2427915467882525e-07	separate mitotic half spindles present	174	0.00011657384708873809	None	None	None	4	30	9	5057	None	True
FYPO:0000177	1.2717575351816905e-07	abnormal mitotic spindle assembly	175	0.00011929085680004257	None	None	None	5	30	22	5057	None	True
FYPO:0003037	1.5436332031340009e-07	abnormal cell phenotype	176	0.00014479279445396928	None	None	None	30	30	3004	5057	True	None
FYPO:0000408	1.8838003667303186e-07	increased duration of cell cycle phase	177	0.0001767004743993039	None	None	None	8	30	113	5057	True	True
FYPO:0007108	1.884760212162445e-07	abnormal meiotic centromere clustering during meiotic prophase I	178	0.00017679050790083732	None	None	None	3	30	3	5057	None	True
FYPO:0001944	1.884760212162445e-07	abolished microtubule binding	179	0.00017679050790083732	None	None	None	3	30	3	5057	None	True
FYPO:0005797	1.884760212162445e-07	short microtubule bundle	180	0.00017679050790083732	None	None	None	3	30	3	5057	None	True
FYPO:0007379	2.0357519834839516e-07	T-shaped vegetative cell	181	0.00019095353605079465	None	None	None	5	30	24	5057	True	True
FYPO:0000069	2.0357519834839516e-07	resistance to thiabendazole	182	0.00019095353605079465	None	None	None	5	30	24	5057	None	None
FYPO:0004212	2.062793273541933e-07	decreased protein localization to kinetochore during meiosis I	183	0.00019349000905823332	None	None	None	4	30	10	5057	None	True
FYPO:0005446	2.406529117123565e-07	abolished molecular function	184	0.0002257324311861904	None	None	None	13	30	420	5057	True	None
FYPO:0000706	2.528508028671994e-07	normal molecular function	185	0.00023717405308943304	None	None	None	12	30	347	5057	True	None
FYPO:0006238	2.6497848708767786e-07	decreased protein localization to centromere	186	0.00024854982088824186	None	None	None	6	30	48	5057	True	True
FYPO:0003241	2.8879744698151165e-07	unequal mitotic sister chromatid segregation	187	0.0002708920052686579	None	None	None	7	30	80	5057	None	True
FYPO:0000608	3.007180027316913e-07	abnormal cell cycle arrest in mitotic M phase	188	0.00028207348656232643	None	None	None	6	30	49	5057	None	True
FYPO:0005566	3.124612448767278e-07	T-shaped cell	189	0.0002930886476943707	None	None	None	5	30	26	5057	True	True
FYPO:0000964	3.148461617275645e-07	normal growth on thiabendazole	190	0.0002953256997004555	None	None	None	7	30	81	5057	None	None
FYPO:0005597	3.2096189349898147e-07	abnormal protein localization to centromere	191	0.0003010622561020446	None	None	None	8	30	121	5057	True	True
FYPO:0004511	3.228189596664696e-07	long curved interphase microtubules	192	0.0003028041841671485	None	None	None	4	30	11	5057	None	True
FYPO:0004307	3.228189596664696e-07	long mitotic spindle during metaphase	193	0.0003028041841671485	None	None	None	4	30	11	5057	None	True
FYPO:0006103	3.228189596664696e-07	short interphase microtubules	194	0.0003028041841671485	None	None	None	4	30	11	5057	None	True
FYPO:0005558	3.403280881966943e-07	abnormal microtubule bundle	195	0.0003192277467284993	None	None	None	6	30	50	5057	True	True
FYPO:0003549	3.8412833581972686e-07	abnormal protein localization during meiosis	196	0.0003603123789989038	None	None	None	6	30	51	5057	True	True
FYPO:0000652	4.250209710539929e-07	molecular function phenotype	197	0.00039866967084864534	None	None	None	17	30	815	5057	True	None
FYPO:0007260	4.768213215346191e-07	abnormal cellular process during meiotic cell cycle	198	0.0004472583995994727	None	None	None	7	30	86	5057	True	True
FYPO:0006502	4.82235291822008e-07	abolished protein localization to cell cortex of cell tip during vegetative growth	199	0.00045233670372904353	None	None	None	4	30	12	5057	None	True
FYPO:0002071	5.441443949115035e-07	mislocalized nucleus during vegetative growth	200	0.0005104074424269903	None	None	None	6	30	54	5057	None	True
FYPO:0004862	6.658077580001431e-07	curved microtubules	201	0.0006245276770041342	None	None	None	5	30	30	5057	True	True
FYPO:0000769	6.658077580001431e-07	abnormal nuclear envelope morphology during vegetative growth	202	0.0006245276770041342	None	None	None	5	30	30	5057	None	True
FYPO:0004762	6.93694973643643e-07	abnormal protein localization to kinetochore during meiosis	203	0.0006506858852777371	None	None	None	4	30	13	5057	True	True
FYPO:0003788	6.93694973643643e-07	nuclear envelope protrusion present during mitosis	204	0.0006506858852777371	None	None	None	4	30	13	5057	None	True
FYPO:0007958	7.508833967549385e-07	increased rate of mitotic spindle elongation	205	0.0007043286261561323	None	None	None	3	30	4	5057	None	True
